Date,Open,High,Low,Close,Volume
2021-08-09,306,306,306,306,306
2021-08-10,309,309,309,309,309
2021-08-11,321,321,321,321,321
2021-08-12,347,347,347,347,347
2021-08-13,319,319,319,319,319
2021-08-14,306,306,306,306,306
2021-08-15,323,323,323,323,323
2021-08-16,313,313,313,313,313
2021-08-17,370,370,370,370,370
2021-08-18,328,328,328,328,328
2021-08-19,270,270,270,270,270
2021-08-20,280,280,280,280,280
2021-08-21,230,230,230,230,230
2021-08-22,77,77,77,77,77
2021-08-23,225,225,225,225,225
2021-08-24,185,185,185,185,185
2021-08-25,166,166,166,166,166
2021-08-26,148,148,148,148,148
2021-08-27,152,152,152,152,152
2021-08-28,139,139,139,139,139
2021-08-29,185,185,185,185,185
2021-08-30,246,246,246,246,246
2021-08-31,276,276,276,276,276
2021-09-01,283,283,283,283,283
2021-09-02,310,310,310,310,310
2021-09-03,354,354,354,354,354
2021-09-04,314,314,314,314,314
2021-09-05,294,294,294,294,294
2021-09-06,310,310,310,310,310
2021-09-07,314,314,314,314,314
2021-09-08,368,368,368,368,368
2021-09-09,319,319,319,319,319
2021-09-10,376,376,376,376,376
2021-09-11,379,379,379,379,379
2021-09-12,336,336,336,336,336
2021-09-13,314,314,314,314,314
2021-09-14,285,285,285,285,285
2021-09-15,237,237,237,237,237
2021-09-16,392,392,392,392,392
2021-09-17,224,224,224,224,224
2021-09-18,210,210,210,210,210
2021-09-19,218,218,218,218,218
2021-09-20,209,209,209,209,209
2021-09-21,237,237,237,237,237
2021-09-22,268,268,268,268,268
2021-09-23,274,274,274,274,274
2021-09-24,296,296,296,296,296
2021-09-25,330,330,330,330,330
2021-09-26,329,329,329,329,329
2021-09-27,367,367,367,367,367
2021-09-28,336,336,336,336,336
2021-09-29,334,334,334,334,334
2021-09-30,288,288,288,288,288
2021-10-01,329,329,329,329,329
2021-10-02,413,413,413,413,413
2021-10-03,369,369,369,369,369
2021-10-04,370,370,370,370,370
2021-10-05,336,336,336,336,336
2021-10-06,360,360,360,360,360
2021-10-07,297,297,297,297,297
2021-10-08,272,272,272,272,272
2021-10-09,221,221,221,221,221
2021-10-10,198,198,198,198,198
2021-10-11,176,176,176,176,176
2021-10-12,248,248,248,248,248
2021-10-13,131,131,131,131,131
2021-10-14,145,145,145,145,145
2021-10-15,142,142,142,142,142
2021-10-16,210,210,210,210,210
2021-10-17,235,235,235,235,235
2021-10-18,241,241,241,241,241
2021-10-19,271,271,271,271,271
2021-10-20,301,301,301,301,301
2021-10-21,391,391,391,391,391
2021-10-22,306,306,306,306,306
2021-10-23,385,385,385,385,385
2021-10-24,338,338,338,338,338
2021-10-25,325,325,325,325,325
2021-10-26,306,306,306,306,306
2021-10-27,313,313,313,313,313
2021-10-28,351,351,351,351,351
2021-10-29,390,390,390,390,390
2021-10-30,343,343,343,343,343
2021-10-31,301,301,301,301,301
2021-11-01,302,302,302,302,302
2021-11-02,112,112,112,112,112
2021-11-03,229,229,229,229,229
2021-11-04,184,184,184,184,184
2021-11-05,155,155,155,155,155
2021-11-06,140,140,140,140,140
2021-11-07,147,147,147,147,147
2021-11-08,128,128,128,128,128
2021-11-09,157,157,157,157,157
2021-11-10,180,180,180,180,180
2021-11-11,232,232,232,232,232
2021-11-12,261,261,261,261,261
2021-11-13,284,284,284,284,284
2021-11-14,296,296,296,296,296
2021-11-15,299,299,299,299,299
2021-11-16,318,318,318,318,318
2021-11-17,275,275,275,275,275
2021-11-18,296,296,296,296,296
2021-11-19,263,263,263,263,263
2021-11-20,276,276,276,276,276
2021-11-21,285,285,285,285,285
2021-11-22,304,304,304,304,304
2021-11-23,312,312,312,312,312
2021-11-24,321,321,321,321,321
2021-11-25,280,280,280,280,280
2021-11-26,146,146,146,146,146
