Date	Open	High	Low	Close*	Adj Close**	Volume
Aug 11, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	190,175
Aug 10, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	263,827
Aug 09, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	302,290
Aug 08, 2016	0.0003	0.0003	0.0002	0.0002	0.0002	600,323
Aug 07, 2016	0.0002	0.0003	0.0002	0.0003	0.0003	1,567,680
Aug 06, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	278,089
Aug 05, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	123,728
Aug 04, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	143,676
Aug 03, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	191,331
Aug 02, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	225,484
Aug 01, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	130,186
Jul 31, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	89,186
Jul 30, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	58,986
Jul 29, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	98,146
Jul 28, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	84,121
Jul 27, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	153,832
Jul 26, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	206,520
Jul 25, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	108,561
Jul 24, 2016	0.0003	0.0003	0.0002	0.0002	0.0002	273,570
Jul 23, 2016	0.0002	0.0003	0.0002	0.0003	0.0003	328,851
Jul 22, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	216,280
Jul 21, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	252,756
Jul 20, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	174,826
Jul 19, 2016	0.0003	0.0003	0.0002	0.0002	0.0002	257,203
Jul 18, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	232,515
Jul 17, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	125,107
Jul 16, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	82,476
Jul 15, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	120,831
