Date,Open,High,Low,Close,Volume
2021-05-05 - 13h,347,347,347,347,347
2021-05-05 - 14h,348,348,348,348,348
2021-05-05 - 15h,295,295,295,295,295
2021-05-05 - 16h,398,398,398,398,398
2021-05-05 - 17h,348,348,348,348,348
2021-05-05 - 18h,359,359,359,359,359
2021-05-05 - 19h,313,313,313,313,313
2021-05-05 - 20h,323,323,323,323,323
2021-05-05 - 21h,283,283,283,283,283
2021-05-05 - 22h,259,259,259,259,259
2021-05-05 - 23h,187,187,187,187,187
2021-05-06 - 0h,167,167,167,167,167
2021-05-06 - 1h,131,131,131,131,131
2021-05-06 - 2h,114,114,114,114,114
2021-05-06 - 3h,113,113,113,113,113
2021-05-06 - 4h,118,118,118,118,118
2021-05-06 - 5h,140,140,140,140,140
2021-05-06 - 6h,140,140,140,140,140
2021-05-06 - 7h,368,368,368,368,368
2021-05-06 - 8h,258,258,258,258,258
2021-05-06 - 9h,296,296,296,296,296
2021-05-06 - 10h,335,335,335,335,335
2021-05-06 - 11h,314,314,314,314,314
2021-05-06 - 12h,338,338,338,338,338
2021-05-06 - 13h,334,334,334,334,334
2021-05-06 - 14h,283,283,283,283,283
2021-05-06 - 15h,282,282,282,282,282
2021-05-06 - 16h,303,303,303,303,303
2021-05-06 - 17h,301,301,301,301,301
2021-05-06 - 18h,327,327,327,327,327
2021-05-06 - 19h,361,361,361,361,361
2021-05-06 - 20h,304,304,304,304,304
2021-05-06 - 21h,305,305,305,305,305
2021-05-06 - 22h,228,228,228,228,228
2021-05-06 - 23h,213,213,213,213,213
2021-05-07 - 0h,169,169,169,169,169
2021-05-07 - 1h,145,145,145,145,145
2021-05-07 - 2h,156,156,156,156,156
2021-05-07 - 3h,132,132,132,132,132
2021-05-07 - 4h,145,145,145,145,145
2021-05-07 - 5h,164,164,164,164,164
2021-05-07 - 6h,223,223,223,223,223
2021-05-07 - 7h,223,223,223,223,223
2021-05-07 - 8h,267,267,267,267,267
2021-05-07 - 9h,317,317,317,317,317
2021-05-07 - 10h,346,346,346,346,346
2021-05-07 - 11h,348,348,348,348,348
2021-05-07 - 12h,313,313,313,313,313
2021-05-07 - 13h,341,341,341,341,341
2021-05-07 - 14h,350,350,350,350,350
2021-05-07 - 15h,327,327,327,327,327
2021-05-07 - 16h,331,331,331,331,331
2021-05-07 - 17h,330,330,330,330,330
2021-05-07 - 18h,341,341,341,341,341
2021-05-07 - 19h,717,717,717,717,717
2021-05-07 - 20h,401,401,401,401,401
2021-05-07 - 21h,365,365,365,365,365
2021-05-07 - 22h,298,298,298,298,298
2021-05-07 - 23h,255,255,255,255,255
2021-05-08 - 0h,231,231,231,231,231
2021-05-08 - 1h,182,182,182,182,182
2021-05-08 - 2h,155,155,155,155,155
2021-05-08 - 3h,155,155,155,155,155
2021-05-08 - 4h,152,152,152,152,152
2021-05-08 - 5h,139,139,139,139,139
2021-05-08 - 6h,137,137,137,137,137
2021-05-08 - 7h,165,165,165,165,165
2021-05-08 - 8h,236,236,236,236,236
2021-05-08 - 9h,274,274,274,274,274
2021-05-08 - 10h,301,301,301,301,301
2021-05-08 - 11h,309,309,309,309,309
2021-05-08 - 12h,320,320,320,320,320
2021-05-08 - 13h,302,302,302,302,302
2021-05-08 - 14h,334,334,334,334,334
2021-05-08 - 15h,316,316,316,316,316
2021-05-08 - 16h,296,296,296,296,296
2021-05-08 - 17h,315,315,315,315,315
2021-05-08 - 18h,308,308,308,308,308
2021-05-08 - 19h,292,292,292,292,292
2021-05-08 - 20h,316,316,316,316,316
2021-05-08 - 21h,256,256,256,256,256
2021-05-08 - 22h,235,235,235,235,235
2021-05-08 - 23h,113,113,113,113,113
2021-05-09 - 0h,206,206,206,206,206
2021-05-09 - 1h,152,152,152,152,152
2021-05-09 - 2h,139,139,139,139,139
2021-05-09 - 3h,119,119,119,119,119
2021-05-09 - 4h,117,117,117,117,117
2021-05-09 - 5h,128,128,128,128,128
2021-05-09 - 6h,146,146,146,146,146
2021-05-09 - 7h,146,146,146,146,146
2021-05-09 - 8h,202,202,202,202,202
2021-05-09 - 9h,224,224,224,224,224
2021-05-09 - 10h,322,322,322,322,322
2021-05-09 - 11h,310,310,310,310,310
2021-05-09 - 12h,360,360,360,360,360
2021-05-09 - 13h,386,386,386,386,386
2021-05-09 - 14h,324,324,324,324,324
2021-05-09 - 15h,287,287,287,287,287
2021-05-09 - 16h,267,267,267,267,267
2021-05-09 - 17h,324,324,324,324,324
2021-05-09 - 18h,319,319,319,319,319
2021-05-09 - 19h,265,265,265,265,265
2021-05-09 - 20h,301,301,301,301,301
2021-05-09 - 21h,257,257,257,257,257
2021-05-09 - 22h,227,227,227,227,227
2021-05-09 - 23h,188,188,188,188,188
2021-05-10 - 0h,295,295,295,295,295
2021-05-10 - 1h,162,162,162,162,162
2021-05-10 - 2h,160,160,160,160,160
2021-05-10 - 3h,162,162,162,162,162
2021-05-10 - 4h,151,151,151,151,151
2021-05-10 - 5h,167,167,167,167,167
2021-05-10 - 6h,202,202,202,202,202
2021-05-10 - 7h,232,232,232,232,232
2021-05-10 - 8h,288,288,288,288,288
2021-05-10 - 9h,328,328,328,328,328
2021-05-10 - 10h,357,357,357,357,357
2021-05-10 - 11h,335,335,335,335,335
2021-05-10 - 12h,377,377,377,377,377
2021-05-10 - 13h,380,380,380,380,380
2021-05-10 - 14h,308,308,308,308,308
2021-05-10 - 15h,385,385,385,385,385
2021-05-10 - 16h,306,306,306,306,306
2021-05-10 - 17h,289,289,289,289,289
2021-05-10 - 18h,351,351,351,351,351
2021-05-10 - 19h,346,346,346,346,346
2021-05-10 - 20h,327,327,327,327,327
2021-05-10 - 21h,312,312,312,312,312
2021-05-10 - 22h,245,245,245,245,245
2021-05-10 - 23h,77,77,77,77,77
