2021/04/02 - 23:05;83
2021/04/02 - 23:10;103
2021/04/02 - 23:15;68
2021/04/02 - 23:20;79
2021/04/02 - 23:25;71
2021/04/02 - 23:30;77
2021/04/02 - 23:35;51
2021/04/02 - 23:40;47
2021/04/02 - 23:45;30
2021/04/03 - 00:00;199
2021/04/03 - 00:05;184
2021/04/03 - 00:10;130
2021/04/03 - 00:15;160
2021/04/03 - 00:20;150
2021/04/03 - 00:25;148
2021/04/03 - 00:30;146
2021/04/03 - 00:35;131
2021/04/03 - 00:40;129
2021/04/03 - 00:45;90
2021/04/03 - 00:50;120
2021/04/03 - 00:55;112
2021/04/03 - 01:00;135
2021/04/03 - 01:05;135
2021/04/03 - 01:10;99
2021/04/03 - 01:15;108
2021/04/03 - 01:20;104
2021/04/03 - 01:25;135
2021/04/03 - 01:30;112
2021/04/03 - 01:35;99
2021/04/03 - 01:40;102
2021/04/03 - 01:45;102
2021/04/03 - 01:50;132
2021/04/03 - 01:55;109
2021/04/03 - 02:00;159
2021/04/03 - 02:05;151
2021/04/03 - 02:10;116
2021/04/03 - 02:15;94
2021/04/03 - 02:20;139
2021/04/03 - 02:25;100
2021/04/03 - 02:30;112
2021/04/03 - 02:35;123
2021/04/03 - 02:40;95
2021/04/03 - 02:45;112
2021/04/03 - 02:50;109
2021/04/03 - 02:55;118
2021/04/03 - 03:00;124
2021/04/03 - 03:05;99
2021/04/03 - 03:10;131
2021/04/03 - 03:15;84
2021/04/03 - 03:20;112
2021/04/03 - 03:25;107
2021/04/03 - 03:30;93
2021/04/03 - 03:35;94
2021/04/03 - 03:40;84
2021/04/03 - 03:45;82
2021/04/03 - 03:50;113
2021/04/03 - 03:55;80
2021/04/03 - 04:00;119
2021/04/03 - 04:05;102
2021/04/03 - 04:10;106
2021/04/03 - 04:15;94
2021/04/03 - 04:20;91
2021/04/03 - 04:25;112
2021/04/03 - 04:30;85
2021/04/03 - 04:35;94
2021/04/03 - 04:40;89
2021/04/03 - 04:45;87
2021/04/03 - 04:50;122
2021/04/03 - 04:55;97
2021/04/03 - 05:00;118
2021/04/03 - 05:05;100
2021/04/03 - 05:10;100
2021/04/03 - 05:15;98
2021/04/03 - 05:20;109
2021/04/03 - 05:25;112
2021/04/03 - 05:30;89
2021/04/03 - 05:35;113
2021/04/03 - 05:40;84
2021/04/03 - 05:45;79
2021/04/03 - 05:50;112
2021/04/03 - 05:55;101
2021/04/03 - 06:00;115
2021/04/03 - 06:05;109
2021/04/03 - 06:10;119
2021/04/03 - 06:15;98
2021/04/03 - 06:20;128
2021/04/03 - 06:25;136
2021/04/03 - 06:30;106
2021/04/03 - 06:35;130
2021/04/03 - 06:40;92
2021/04/03 - 06:45;74
2021/04/03 - 06:50;132
2021/04/03 - 06:55;109
2021/04/03 - 07:00;134
2021/04/03 - 07:05;140
2021/04/03 - 07:10;144
2021/04/03 - 07:15;123
2021/04/03 - 07:20;92
2021/04/03 - 07:25;119
2021/04/03 - 07:30;139
2021/04/03 - 07:35;120
2021/04/03 - 07:40;117
2021/04/03 - 07:45;94
2021/04/03 - 07:50;122
2021/04/03 - 07:55;116
2021/04/03 - 08:00;154
2021/04/03 - 08:05;171
2021/04/03 - 08:10;155
2021/04/03 - 08:15;174
2021/04/03 - 08:20;151
2021/04/03 - 08:25;191
2021/04/03 - 08:30;168
2021/04/03 - 08:35;127
2021/04/03 - 08:40;158
2021/04/03 - 08:45;115
2021/04/03 - 08:50;193
2021/04/03 - 08:55;180
2021/04/03 - 09:00;213
2021/04/03 - 09:05;199
2021/04/03 - 09:10;171
2021/04/03 - 09:15;192
2021/04/03 - 09:20;180
2021/04/03 - 09:25;192
2021/04/03 - 09:30;173
2021/04/03 - 09:35;152
2021/04/03 - 09:40;218
2021/04/03 - 09:45;134
2021/04/03 - 09:50;192
2021/04/03 - 09:55;227
2021/04/03 - 10:00;217
2021/04/03 - 10:05;265
2021/04/03 - 10:10;248
2021/04/03 - 10:15;208
2021/04/03 - 10:20;220
2021/04/03 - 10:25;265
2021/04/03 - 10:30;245
2021/04/03 - 10:35;263
2021/04/03 - 10:40;255
2021/04/03 - 10:45;226
2021/04/03 - 10:50;271
2021/04/03 - 10:55;219
2021/04/03 - 11:00;203
2021/04/03 - 11:05;209
2021/04/03 - 11:10;254
2021/04/03 - 11:15;256
2021/04/03 - 11:20;232
2021/04/03 - 11:25;240
2021/04/03 - 11:30;291
2021/04/03 - 11:35;226
2021/04/03 - 11:40;247
2021/04/03 - 11:45;225
2021/04/03 - 11:50;227
2021/04/03 - 11:55;261
2021/04/03 - 12:00;244
2021/04/03 - 12:05;296
2021/04/03 - 12:10;293
2021/04/03 - 12:15;210
2021/04/03 - 12:20;169
2021/04/03 - 12:25;214
2021/04/03 - 12:30;191
2021/04/03 - 12:35;221
2021/04/03 - 12:40;215
2021/04/03 - 12:45;247
2021/04/03 - 12:50;220
2021/04/03 - 12:55;236
2021/04/03 - 13:00;235
2021/04/03 - 13:05;244
2021/04/03 - 13:10;229
2021/04/03 - 13:15;234
2021/04/03 - 13:20;223
2021/04/03 - 13:25;294
